kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at
5,5,1,6,1,6,1,6,false,2025-09-13,KvK #5,a,2026-01-25T23:26:55.973Z,2026-01-25T23:26:55.973Z
13,5,2,3,3,3,3,2,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.008Z,2026-01-25T23:26:56.008Z
26,5,4,5,4,4,4,5,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.060Z,2026-01-25T23:26:56.060Z
40,5,7,25,25,7,25,7,false,2025-09-13,KvK #5,a,2026-01-25T23:26:56.117Z,2026-01-25T23:26:56.117Z
48,5,8,12,12,12,12,8,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.148Z,2026-01-25T23:26:56.148Z
55,5,9,19,19,19,19,9,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.181Z,2026-01-25T23:26:56.181Z
63,5,10,33,33,10,33,10,false,2025-09-13,KvK #5,a,2026-01-25T23:26:56.215Z,2026-01-25T23:26:56.215Z
68,5,11,44,44,44,44,11,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.233Z,2026-01-25T23:26:56.233Z
77,5,13,14,13,13,13,14,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.270Z,2026-01-25T23:26:56.270Z
85,5,15,38,38,15,38,15,false,2025-09-13,KvK #5,a,2026-01-25T23:26:56.296Z,2026-01-25T23:26:56.296Z
90,5,16,49,49,49,49,16,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.311Z,2026-01-25T23:26:56.311Z
96,5,17,58,58,17,58,17,false,2025-09-13,KvK #5,a,2026-01-25T23:26:56.331Z,2026-01-25T23:26:56.331Z
101,5,18,45,45,45,45,18,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.343Z,2026-01-25T23:26:56.343Z
112,5,20,60,60,20,60,20,false,2025-09-13,KvK #5,a,2026-01-25T23:26:56.376Z,2026-01-25T23:26:56.376Z
117,5,21,31,31,31,31,21,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.393Z,2026-01-25T23:26:56.393Z
123,5,22,56,22,56,22,56,false,2025-09-13,KvK #5,a,2026-01-25T23:26:56.408Z,2026-01-25T23:26:56.408Z
128,5,23,52,23,23,23,52,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.420Z,2026-01-25T23:26:56.420Z
135,5,24,57,24,57,24,57,false,2025-09-13,KvK #5,a,2026-01-25T23:26:56.437Z,2026-01-25T23:26:56.437Z
141,5,26,36,36,36,36,26,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.452Z,2026-01-25T23:26:56.452Z
144,5,27,61,61,61,61,27,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.460Z,2026-01-25T23:26:56.460Z
147,5,28,40,40,40,40,28,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.468Z,2026-01-25T23:26:56.468Z
154,5,29,51,29,29,29,51,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.485Z,2026-01-25T23:26:56.485Z
160,5,30,48,30,30,30,48,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.500Z,2026-01-25T23:26:56.500Z
168,5,32,37,37,37,37,32,true,2025-09-13,KvK #5,a,2026-01-25T23:26:56.520Z,2026-01-25T23:26:56.520Z
