kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at
2,2,1,3,3,3,3,1,true,2025-06-21,KvK #2,a,2026-01-25T23:26:55.957Z,2026-01-25T23:26:55.957Z
10,2,2,5,5,5,5,2,true,2025-06-21,KvK #2,a,2026-01-25T23:26:55.994Z,2026-01-25T23:26:55.994Z
24,2,4,6,4,6,4,6,false,2025-06-21,KvK #2,a,2026-01-25T23:26:56.052Z,2026-01-25T23:26:56.052Z
38,2,7,16,16,16,16,7,true,2025-06-21,KvK #2,a,2026-01-25T23:26:56.106Z,2026-01-25T23:26:56.106Z
45,2,8,20,20,20,20,8,true,2025-06-21,KvK #2,a,2026-01-25T23:26:56.136Z,2026-01-25T23:26:56.136Z
53,2,9,43,43,43,43,9,true,2025-06-21,KvK #2,a,2026-01-25T23:26:56.171Z,2026-01-25T23:26:56.171Z
61,2,10,45,45,45,45,10,true,2025-06-21,KvK #2,a,2026-01-25T23:26:56.206Z,2026-01-25T23:26:56.206Z
65,2,11,18,11,18,11,18,false,2025-06-21,KvK #2,a,2026-01-25T23:26:56.221Z,2026-01-25T23:26:56.221Z
73,2,12,13,12,13,12,13,false,2025-06-21,KvK #2,a,2026-01-25T23:26:56.252Z,2026-01-25T23:26:56.252Z
80,2,14,26,14,14,14,26,true,2025-06-21,KvK #2,a,2026-01-25T23:26:56.280Z,2026-01-25T23:26:56.280Z
82,2,15,33,15,15,15,33,true,2025-06-21,KvK #2,a,2026-01-25T23:26:56.286Z,2026-01-25T23:26:56.286Z
93,2,17,30,17,17,17,30,true,2025-06-21,KvK #2,a,2026-01-25T23:26:56.322Z,2026-01-25T23:26:56.322Z
106,2,19,42,42,42,42,19,true,2025-06-21,KvK #2,a,2026-01-25T23:26:56.355Z,2026-01-25T23:26:56.355Z
115,2,21,29,21,29,21,29,false,2025-06-21,KvK #2,a,2026-01-25T23:26:56.387Z,2026-01-25T23:26:56.387Z
120,2,22,37,37,22,37,22,false,2025-06-21,KvK #2,a,2026-01-25T23:26:56.401Z,2026-01-25T23:26:56.401Z
126,2,23,28,23,28,23,28,false,2025-06-21,KvK #2,a,2026-01-25T23:26:56.415Z,2026-01-25T23:26:56.415Z
133,2,24,32,32,24,32,24,false,2025-06-21,KvK #2,a,2026-01-25T23:26:56.432Z,2026-01-25T23:26:56.432Z
138,2,25,44,25,44,25,44,false,2025-06-21,KvK #2,a,2026-01-25T23:26:56.445Z,2026-01-25T23:26:56.445Z
