kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at
9,9,1,15,1,15,1,15,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:55.990Z,2026-01-25T23:26:55.990Z
16,9,2,25,2,25,2,25,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.020Z,2026-01-25T23:26:56.020Z
23,9,3,12,12,3,12,3,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.048Z,2026-01-25T23:26:56.048Z
28,9,4,22,22,22,22,4,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.068Z,2026-01-25T23:26:56.068Z
33,9,5,16,5,16,5,16,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.086Z,2026-01-25T23:26:56.086Z
37,9,6,14,6,14,6,14,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.101Z,2026-01-25T23:26:56.101Z
43,9,7,33,33,33,33,7,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.129Z,2026-01-25T23:26:56.129Z
52,9,8,13,13,13,13,8,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.166Z,2026-01-25T23:26:56.166Z
59,9,9,10,9,9,9,10,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.197Z,2026-01-25T23:26:56.197Z
72,9,11,20,11,11,11,20,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.248Z,2026-01-25T23:26:56.248Z
100,9,17,31,17,17,17,31,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.340Z,2026-01-25T23:26:56.340Z
105,9,18,24,24,18,24,18,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.352Z,2026-01-25T23:26:56.352Z
110,9,19,37,19,37,19,37,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.368Z,2026-01-25T23:26:56.368Z
119,9,21,27,21,21,21,27,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.398Z,2026-01-25T23:26:56.398Z
132,9,23,30,30,23,30,23,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.430Z,2026-01-25T23:26:56.430Z
151,9,28,34,34,34,34,28,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.477Z,2026-01-25T23:26:56.477Z
157,9,29,32,29,32,29,32,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.493Z,2026-01-25T23:26:56.493Z
181,9,35,47,47,47,47,35,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.555Z,2026-01-25T23:26:56.555Z
185,9,36,61,61,36,61,36,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.566Z,2026-01-25T23:26:56.566Z
196,9,38,42,42,38,42,38,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.596Z,2026-01-25T23:26:56.596Z
200,9,39,60,39,60,39,60,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.606Z,2026-01-25T23:26:56.606Z
205,9,40,59,40,59,40,59,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.619Z,2026-01-25T23:26:56.619Z
210,9,41,53,53,41,53,41,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.632Z,2026-01-25T23:26:56.632Z
216,9,43,65,43,43,43,65,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.648Z,2026-01-25T23:26:56.648Z
221,9,44,57,57,57,57,44,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.663Z,2026-01-25T23:26:56.663Z
225,9,45,62,62,45,62,45,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.683Z,2026-01-25T23:26:56.683Z
