kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at
7,7,1,10,1,10,1,10,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:55.982Z,2026-01-25T23:26:55.982Z
14,7,2,7,7,7,7,2,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.011Z,2026-01-25T23:26:56.011Z
21,7,3,45,45,3,45,3,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.041Z,2026-01-25T23:26:56.041Z
27,7,4,25,4,4,4,25,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.064Z,2026-01-25T23:26:56.064Z
32,7,5,20,20,5,20,5,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.082Z,2026-01-25T23:26:56.082Z
36,7,6,12,12,12,12,6,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.097Z,2026-01-25T23:26:56.097Z
50,7,8,14,14,14,14,8,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.154Z,2026-01-25T23:26:56.154Z
57,7,9,29,29,9,29,9,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.189Z,2026-01-25T23:26:56.189Z
70,7,11,13,11,11,11,13,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.241Z,2026-01-25T23:26:56.241Z
87,7,15,21,15,21,15,21,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.302Z,2026-01-25T23:26:56.302Z
91,7,16,47,47,47,47,16,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.315Z,2026-01-25T23:26:56.315Z
98,7,17,30,30,17,30,17,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.336Z,2026-01-25T23:26:56.336Z
103,7,18,61,61,61,61,18,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.348Z,2026-01-25T23:26:56.348Z
109,7,19,27,27,19,27,19,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.363Z,2026-01-25T23:26:56.363Z
124,7,22,33,33,33,33,22,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.410Z,2026-01-25T23:26:56.410Z
130,7,23,39,39,23,39,23,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.425Z,2026-01-25T23:26:56.425Z
136,7,24,42,24,24,24,42,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.440Z,2026-01-25T23:26:56.440Z
149,7,28,32,28,28,28,32,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.473Z,2026-01-25T23:26:56.473Z
165,7,31,63,63,63,63,31,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.512Z,2026-01-25T23:26:56.512Z
175,7,34,35,34,34,34,35,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.538Z,2026-01-25T23:26:56.538Z
184,7,36,58,36,36,36,58,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.563Z,2026-01-25T23:26:56.563Z
188,7,37,40,37,40,37,40,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.574Z,2026-01-25T23:26:56.574Z
194,7,38,43,43,38,43,38,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.590Z,2026-01-25T23:26:56.590Z
208,7,41,48,48,48,48,41,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.627Z,2026-01-25T23:26:56.627Z
219,7,44,62,62,44,62,44,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.656Z,2026-01-25T23:26:56.656Z
229,7,46,54,54,46,54,46,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.697Z,2026-01-25T23:26:56.697Z
245,7,49,53,53,53,53,49,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.747Z,2026-01-25T23:26:56.747Z
250,7,50,56,56,50,56,50,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.760Z,2026-01-25T23:26:56.760Z
254,7,51,55,55,55,55,51,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.770Z,2026-01-25T23:26:56.770Z
260,7,52,65,52,52,52,65,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.785Z,2026-01-25T23:26:56.785Z
277,7,57,66,66,57,66,57,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.832Z,2026-01-25T23:26:56.832Z
282,7,59,67,67,67,67,59,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.844Z,2026-01-25T23:26:56.844Z
285,7,60,64,60,60,60,64,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.851Z,2026-01-25T23:26:56.851Z
304,7,68,117,68,68,68,117,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.901Z,2026-01-25T23:26:56.901Z
310,7,69,97,97,69,97,69,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.917Z,2026-01-25T23:26:56.917Z
316,7,70,87,87,87,87,70,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.933Z,2026-01-25T23:26:56.933Z
321,7,71,84,84,84,84,71,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.946Z,2026-01-25T23:26:56.946Z
328,7,72,89,89,89,89,72,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.976Z,2026-01-25T23:26:56.976Z
334,7,73,133,133,73,133,73,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.992Z,2026-01-25T23:26:56.992Z
341,7,74,85,85,85,85,74,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:57.012Z,2026-01-25T23:26:57.012Z
346,7,75,101,101,75,101,75,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:57.028Z,2026-01-25T23:26:57.028Z
351,7,76,90,90,90,90,76,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:57.045Z,2026-01-25T23:26:57.045Z
359,7,77,82,82,77,82,77,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:57.078Z,2026-01-25T23:26:57.078Z
363,7,78,79,78,78,78,79,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:57.094Z,2026-01-25T23:26:57.094Z
372,7,80,88,88,80,88,80,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:57.126Z,2026-01-25T23:26:57.126Z
378,7,81,91,81,91,81,91,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:57.145Z,2026-01-25T23:26:57.145Z
390,7,83,98,98,83,98,83,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:57.179Z,2026-01-25T23:26:57.179Z
