kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
8,8,1,5,1,1,1,5,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:55.985Z,2026-01-25T23:26:55.985Z,285,280
15,8,2,4,4,2,4,2,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.015Z,2026-01-25T23:26:56.015Z,283,281
22,8,3,6,3,3,3,6,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.045Z,2026-01-25T23:26:56.045Z,282,279
42,8,7,27,27,7,27,7,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.125Z,2026-01-25T23:26:56.125Z,278,264
51,8,8,48,48,8,48,8,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.159Z,2026-01-25T23:26:56.159Z,277,257
58,8,9,43,43,9,43,9,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.193Z,2026-01-25T23:26:56.193Z,276,258
64,8,10,30,30,30,30,10,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.218Z,2026-01-25T23:26:56.218Z,275,263
71,8,11,62,62,62,62,11,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.245Z,2026-01-25T23:26:56.245Z,274,252
76,8,12,14,12,12,12,14,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.265Z,2026-01-25T23:26:56.265Z,273,271
79,8,13,19,19,13,19,13,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.277Z,2026-01-25T23:26:56.277Z,272,266
88,8,15,32,32,15,32,15,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.305Z,2026-01-25T23:26:56.305Z,270,262
92,8,16,65,65,65,65,16,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.318Z,2026-01-25T23:26:56.318Z,269,251
99,8,17,69,69,69,69,17,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.338Z,2026-01-25T23:26:56.338Z,268,250
104,8,18,33,33,18,33,18,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.350Z,2026-01-25T23:26:56.350Z,267,261
114,8,20,21,20,20,20,21,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.384Z,2026-01-25T23:26:56.384Z,266,266
125,8,22,67,22,22,22,67,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.413Z,2026-01-25T23:26:56.413Z,265,251
131,8,23,93,93,93,93,23,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.427Z,2026-01-25T23:26:56.427Z,265,243
137,8,24,92,92,92,92,24,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.442Z,2026-01-25T23:26:56.442Z,265,243
139,8,25,36,36,36,36,25,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.447Z,2026-01-25T23:26:56.447Z,265,260
150,8,28,42,42,28,42,28,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.475Z,2026-01-25T23:26:56.475Z,263,258
156,8,29,70,29,70,29,70,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.490Z,2026-01-25T23:26:56.490Z,263,250
166,8,31,35,31,31,31,35,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.515Z,2026-01-25T23:26:56.515Z,261,260
176,8,34,60,60,60,60,34,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.541Z,2026-01-25T23:26:56.541Z,261,252
189,8,37,68,68,37,68,37,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.576Z,2026-01-25T23:26:56.576Z,259,250
195,8,38,39,39,39,39,38,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.593Z,2026-01-25T23:26:56.593Z,258,259
204,8,40,77,77,40,77,40,false,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.617Z,2026-01-25T23:26:56.617Z,259,247
209,8,41,59,59,59,59,41,true,2025-12-06,KvK #8,KvK #8,2026-01-25T23:26:56.630Z,2026-01-25T23:26:56.630Z,259,253
