kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
6,6,1,2,1,2,1,2,false,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:55.977Z,2026-01-25T23:26:55.977Z,229,227
20,6,3,4,3,3,3,4,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.037Z,2026-01-25T23:26:56.037Z,226,225
31,6,5,6,6,6,6,5,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.079Z,2026-01-25T23:26:56.079Z,224,223
41,6,7,14,14,14,14,7,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.122Z,2026-01-25T23:26:56.122Z,222,215
49,6,8,10,8,8,8,10,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.151Z,2026-01-25T23:26:56.151Z,221,219
56,6,9,16,16,16,16,9,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.185Z,2026-01-25T23:26:56.185Z,220,213
69,6,11,24,24,24,24,11,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.237Z,2026-01-25T23:26:56.237Z,218,209
75,6,12,36,12,12,12,36,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.261Z,2026-01-25T23:26:56.261Z,217,204
78,6,13,42,42,42,42,13,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.274Z,2026-01-25T23:26:56.274Z,216,202
86,6,15,33,33,33,33,15,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.298Z,2026-01-25T23:26:56.298Z,214,205
97,6,17,66,66,66,66,17,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.333Z,2026-01-25T23:26:56.333Z,212,195
102,6,18,58,58,18,58,18,false,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.345Z,2026-01-25T23:26:56.345Z,211,197
108,6,19,49,19,19,19,49,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.360Z,2026-01-25T23:26:56.360Z,210,200
113,6,20,22,20,22,20,22,false,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.379Z,2026-01-25T23:26:56.379Z,210,209
118,6,21,65,21,21,21,65,true,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.396Z,2026-01-25T23:26:56.396Z,210,195
129,6,23,25,23,25,23,25,false,2025-10-11,KvK #6,KvK #6,2026-01-25T23:26:56.422Z,2026-01-25T23:26:56.422Z,209,209
