kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
163,4,31,73,73,73,73,31,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.507Z,2026-01-25T23:26:56.507Z,149,137
170,4,33,71,33,33,33,71,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.525Z,2026-01-25T23:26:56.525Z,149,137
179,4,35,124,124,35,124,35,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.550Z,2026-01-25T23:26:56.550Z,148,122
183,4,36,116,116,36,116,36,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.560Z,2026-01-25T23:26:56.560Z,148,124
187,4,37,140,140,37,140,37,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.571Z,2026-01-25T23:26:56.571Z,147,118
192,4,38,152,152,38,152,38,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.585Z,2026-01-25T23:26:56.585Z,146,116
198,4,39,110,39,39,39,110,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.601Z,2026-01-25T23:26:56.601Z,147,125
202,4,40,172,172,172,172,40,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.612Z,2026-01-25T23:26:56.612Z,147,111
206,4,41,105,105,105,105,41,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.622Z,2026-01-25T23:26:56.622Z,147,127
211,4,42,166,166,42,166,42,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.635Z,2026-01-25T23:26:56.635Z,146,112
213,4,43,113,113,43,113,43,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.639Z,2026-01-25T23:26:56.639Z,146,125
217,4,44,163,163,163,163,44,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.650Z,2026-01-25T23:26:56.650Z,146,113
223,4,45,59,59,45,59,45,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.674Z,2026-01-25T23:26:56.674Z,146,141
227,4,46,129,129,129,129,46,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.690Z,2026-01-25T23:26:56.690Z,145,121
233,4,47,94,94,47,94,47,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.710Z,2026-01-25T23:26:56.710Z,145,130
239,4,48,84,84,48,84,48,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.730Z,2026-01-25T23:26:56.730Z,145,133
244,4,49,85,49,49,49,85,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.745Z,2026-01-25T23:26:56.745Z,144,133
249,4,50,56,50,50,50,56,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.757Z,2026-01-25T23:26:56.757Z,144,142
253,4,51,145,145,51,145,51,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.767Z,2026-01-25T23:26:56.767Z,144,117
258,4,52,112,112,112,112,52,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.779Z,2026-01-25T23:26:56.779Z,143,125
264,4,53,101,101,101,101,53,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.795Z,2026-01-25T23:26:56.795Z,143,128
267,4,54,103,103,54,103,54,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.804Z,2026-01-25T23:26:56.804Z,143,127
271,4,55,100,55,100,55,100,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.816Z,2026-01-25T23:26:56.816Z,141,129
280,4,58,78,78,58,78,58,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.839Z,2026-01-25T23:26:56.839Z,141,135
284,4,60,90,90,90,90,60,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.849Z,2026-01-25T23:26:56.849Z,140,131
287,4,61,139,61,61,61,139,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.856Z,2026-01-25T23:26:56.856Z,140,118
289,4,62,79,79,62,79,62,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.861Z,2026-01-25T23:26:56.861Z,140,134
291,4,63,159,159,159,159,63,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.866Z,2026-01-25T23:26:56.866Z,140,114
294,4,64,164,164,64,164,64,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.874Z,2026-01-25T23:26:56.874Z,139,113
296,4,65,126,126,65,126,65,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.879Z,2026-01-25T23:26:56.879Z,139,122
298,4,66,70,66,66,66,70,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.884Z,2026-01-25T23:26:56.884Z,139,138
300,4,67,68,67,67,67,68,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.890Z,2026-01-25T23:26:56.890Z,139,138
307,4,69,156,156,69,156,69,false,2025-08-16,KvK #4,a,2026-01-25T23:26:56.909Z,2026-01-25T23:26:56.909Z,138,115
325,4,72,137,137,137,137,72,true,2025-08-16,KvK #4,a,2026-01-25T23:26:56.966Z,2026-01-25T23:26:56.966Z,137,119
338,4,74,97,74,74,74,97,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.004Z,2026-01-25T23:26:57.004Z,136,130
343,4,75,109,109,75,109,75,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.018Z,2026-01-25T23:26:57.018Z,136,126
349,4,76,115,115,76,115,76,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.038Z,2026-01-25T23:26:57.038Z,135,125
356,4,77,153,153,77,153,77,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.067Z,2026-01-25T23:26:57.067Z,135,116
370,4,80,135,80,135,80,135,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.118Z,2026-01-25T23:26:57.118Z,133,119
376,4,81,162,162,162,162,81,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.139Z,2026-01-25T23:26:57.139Z,134,114
382,4,82,173,173,173,173,82,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.158Z,2026-01-25T23:26:57.158Z,133,111
387,4,83,132,132,132,132,83,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.173Z,2026-01-25T23:26:57.173Z,133,120
401,4,86,107,86,86,86,107,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.209Z,2026-01-25T23:26:57.209Z,132,126
407,4,87,95,87,87,87,95,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.227Z,2026-01-25T23:26:57.227Z,132,130
410,4,88,89,89,88,89,88,false,2025-08-16,KvK #4,a,2026-01-25T23:26:57.237Z,2026-01-25T23:26:57.237Z,132,132
418,4,91,138,138,138,138,91,true,2025-08-16,KvK #4,a,2026-01-25T23:26:57.258Z,2026-01-25T23:26:57.258Z,131,119
