kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
4637,13,3,119,3,119,3,119,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:03.811Z,2026-04-26T23:03:03.811Z,422,376
4638,13,4,29,4,29,4,29,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:03.983Z,2026-04-26T23:03:03.983Z,421,403
4639,13,17,127,17,17,17,127,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:16.469Z,2026-04-26T23:03:16.469Z,408,373
4640,13,21,164,21,21,21,164,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:16.625Z,2026-04-26T23:03:16.625Z,406,365
4641,13,24,15,24,15,24,15,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:16.781Z,2026-04-26T23:03:16.781Z,405,410
4642,13,25,46,25,46,25,46,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:16.949Z,2026-04-26T23:03:16.949Z,405,397
4643,13,26,126,26,26,26,126,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:17.111Z,2026-04-26T23:03:17.111Z,404,374
4644,13,27,83,27,27,27,83,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:17.268Z,2026-04-26T23:03:17.268Z,404,385
4645,13,30,12,30,30,30,12,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:17.425Z,2026-04-26T23:03:17.425Z,403,413
4646,13,31,157,31,31,31,157,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:17.581Z,2026-04-26T23:03:17.581Z,401,367
4647,13,32,18,32,18,32,18,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:17.737Z,2026-04-26T23:03:17.737Z,402,407
4648,13,34,51,34,34,34,51,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:17.892Z,2026-04-26T23:03:17.892Z,401,396
4649,13,35,28,35,35,35,28,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:18.046Z,2026-04-26T23:03:18.046Z,400,403
4650,13,39,109,39,109,39,109,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:18.199Z,2026-04-26T23:03:18.199Z,399,378
4651,13,40,75,40,40,40,75,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:18.357Z,2026-04-26T23:03:18.357Z,399,388
4652,13,42,103,42,42,42,103,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:18.512Z,2026-04-26T23:03:18.512Z,398,379
4653,13,48,36,48,48,48,36,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:18.671Z,2026-04-26T23:03:18.671Z,397,400
4654,13,50,49,50,50,50,49,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:18.826Z,2026-04-26T23:03:18.826Z,396,396
4655,13,52,58,52,58,52,58,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:18.981Z,2026-04-26T23:03:18.981Z,395,393
4656,13,54,88,54,54,54,88,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:19.149Z,2026-04-26T23:03:19.149Z,395,384
4657,13,55,47,55,55,55,47,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:19.311Z,2026-04-26T23:03:19.311Z,393,397
4658,13,56,33,56,33,56,33,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:19.474Z,2026-04-26T23:03:19.474Z,394,401
4659,13,61,163,61,163,61,163,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:19.627Z,2026-04-26T23:03:19.627Z,392,365
4660,13,62,138,62,62,62,138,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:37.539Z,2026-04-26T23:03:37.539Z,392,371
4661,13,64,168,64,64,64,168,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:37.693Z,2026-04-26T23:03:37.693Z,391,364
4662,13,67,92,67,67,67,92,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:37.848Z,2026-04-26T23:03:37.848Z,391,383
4663,13,69,10,69,10,69,10,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:38.003Z,2026-04-26T23:03:38.003Z,390,415
4664,13,70,133,70,133,70,133,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:38.159Z,2026-04-26T23:03:38.159Z,390,372
4665,13,72,99,72,99,72,99,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:38.331Z,2026-04-26T23:03:38.331Z,389,381
4666,13,73,16,73,16,73,16,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:38.485Z,2026-04-26T23:03:38.485Z,389,409
4667,13,74,110,74,74,74,110,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:38.641Z,2026-04-26T23:03:38.641Z,388,377
4668,13,77,160,77,77,77,160,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:38.796Z,2026-04-26T23:03:38.796Z,387,366
4669,13,79,136,79,136,79,136,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:38.956Z,2026-04-26T23:03:38.956Z,386,371
4670,13,81,41,81,41,81,41,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:39.112Z,2026-04-26T23:03:39.112Z,386,399
4671,13,82,38,82,38,82,38,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:39.269Z,2026-04-26T23:03:39.269Z,385,398
4672,13,86,162,86,162,86,162,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:39.424Z,2026-04-26T23:03:39.424Z,384,366
4673,13,87,106,87,87,87,106,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:39.578Z,2026-04-26T23:03:39.578Z,384,379
4674,13,89,117,89,89,89,117,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:39.740Z,2026-04-26T23:03:39.740Z,384,376
4675,13,90,57,90,57,90,57,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:39.929Z,2026-04-26T23:03:39.929Z,383,393
4676,13,91,11,91,91,91,11,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:40.091Z,2026-04-26T23:03:40.091Z,383,414
4677,13,93,65,93,93,93,65,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:40.246Z,2026-04-26T23:03:40.246Z,383,391
4678,13,96,129,96,96,96,129,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:41.575Z,2026-04-26T23:03:41.575Z,382,373
4679,13,97,135,97,135,97,135,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:42.902Z,2026-04-26T23:03:42.902Z,382,371
4680,13,98,8,98,8,98,8,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:43.065Z,2026-04-26T23:03:43.065Z,381,417
4681,13,104,37,104,37,104,37,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:43.219Z,2026-04-26T23:03:43.219Z,379,399
4682,13,108,19,108,19,108,19,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:43.396Z,2026-04-26T23:03:43.396Z,378,406
4683,13,111,100,111,100,111,100,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:44.852Z,2026-04-26T23:03:44.852Z,377,381
4684,13,112,142,112,112,112,142,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:46.163Z,2026-04-26T23:03:46.163Z,377,370
4685,13,114,60,114,114,114,60,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:46.332Z,2026-04-26T23:03:46.332Z,377,392
4686,13,115,116,115,115,115,116,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:46.494Z,2026-04-26T23:03:46.494Z,377,376
4687,13,118,68,118,118,118,68,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:46.664Z,2026-04-26T23:03:46.664Z,376,390
4688,13,120,59,120,120,120,59,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:46.831Z,2026-04-26T23:03:46.831Z,375,393
4689,13,123,20,123,20,123,20,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:46.985Z,2026-04-26T23:03:46.985Z,374,406
4690,13,124,121,124,121,124,121,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:47.156Z,2026-04-26T23:03:47.156Z,374,375
4691,13,125,80,125,125,125,80,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:47.313Z,2026-04-26T23:03:47.313Z,374,385
4692,13,128,78,128,128,128,78,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:47.480Z,2026-04-26T23:03:47.480Z,373,387
4693,13,131,102,131,131,131,102,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:47.664Z,2026-04-26T23:03:47.664Z,372,380
4694,13,134,85,134,85,134,85,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:47.821Z,2026-04-26T23:03:47.821Z,371,385
4695,13,137,7,137,7,137,7,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:47.996Z,2026-04-26T23:03:47.996Z,371,418
4696,13,139,105,139,105,139,105,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:48.164Z,2026-04-26T23:03:48.164Z,370,379
4697,13,140,66,140,140,140,66,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:48.327Z,2026-04-26T23:03:48.327Z,370,391
4698,13,141,63,141,141,141,63,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:48.488Z,2026-04-26T23:03:48.488Z,370,392
4699,13,143,53,143,53,143,53,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:48.646Z,2026-04-26T23:03:48.646Z,370,395
4700,13,145,84,145,145,145,84,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:48.801Z,2026-04-26T23:03:48.801Z,369,385
4701,13,146,159,146,146,146,159,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:48.958Z,2026-04-26T23:03:48.958Z,369,366
4702,13,147,71,147,147,147,71,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:49.112Z,2026-04-26T23:03:49.112Z,369,389
4703,13,148,130,148,148,148,130,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:49.274Z,2026-04-26T23:03:49.274Z,369,372
4704,13,149,113,149,149,149,113,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:49.443Z,2026-04-26T23:03:49.443Z,369,377
4705,13,150,76,150,150,150,76,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:49.597Z,2026-04-26T23:03:49.597Z,368,387
4706,13,151,152,151,151,151,152,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:49.771Z,2026-04-26T23:03:49.771Z,368,368
4707,13,153,101,153,153,153,101,true,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:49.937Z,2026-04-26T23:03:49.937Z,368,380
4708,13,154,9,154,9,154,9,false,2026-04-25,KvK #13,KvK #13,2026-04-26T23:03:50.093Z,2026-04-26T23:03:50.093Z,368,416
