kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
1,1,1,2,1,1,1,2,true,2025-05-24,KvK #1,First Kingdom vs Kingdom,2026-01-25T23:26:55.948Z,2026-01-25T23:26:55.948Z,89,87
17,1,3,4,3,3,3,4,true,2025-05-24,KvK #1,First Kingdom vs Kingdom,2026-01-25T23:26:56.025Z,2026-01-25T23:26:56.025Z,86,85
29,1,5,7,7,7,7,5,true,2025-05-24,KvK #1,First Kingdom vs Kingdom,2026-01-25T23:26:56.072Z,2026-01-25T23:26:56.072Z,84,82
34,1,6,11,6,11,6,11,false,2025-05-24,KvK #1,First Kingdom vs Kingdom,2026-01-25T23:26:56.089Z,2026-01-25T23:26:56.089Z,83,78
44,1,8,12,12,12,12,8,true,2025-05-24,KvK #1,First Kingdom vs Kingdom,2026-01-25T23:26:56.132Z,2026-01-25T23:26:56.132Z,81,77
60,1,10,13,13,10,13,10,false,2025-05-24,KvK #1,First Kingdom vs Kingdom,2026-01-25T23:26:56.200Z,2026-01-25T23:26:56.200Z,79,76
