kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
5467,14,3,25,3,25,3,25,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:18:57.188Z,2026-05-23T17:18:57.188Z,450,433
5468,14,4,99,4,4,4,99,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:18:57.388Z,2026-05-23T17:18:57.388Z,449,409
5469,14,5,102,102,5,102,5,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:18:57.573Z,2026-05-23T17:18:57.573Z,448,408
5470,14,1,52,1,52,1,52,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:51.988Z,2026-05-23T17:29:51.988Z,453,423
5471,14,6,105,105,6,105,6,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:52.754Z,2026-05-23T17:29:52.754Z,447,407
5472,14,7,128,128,128,128,7,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:52.944Z,2026-05-23T17:29:52.944Z,446,401
5473,14,8,170,170,170,170,8,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:53.133Z,2026-05-23T17:29:53.133Z,445,391
5474,14,9,13,13,9,13,9,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:53.329Z,2026-05-23T17:29:53.329Z,444,440
5475,14,10,50,10,10,10,50,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:53.539Z,2026-05-23T17:29:53.539Z,443,424
5476,14,11,129,11,11,11,129,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:53.729Z,2026-05-23T17:29:53.729Z,442,401
5477,14,12,100,12,12,12,100,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:53.927Z,2026-05-23T17:29:53.927Z,441,409
5478,14,14,118,118,14,118,14,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:54.117Z,2026-05-23T17:29:54.117Z,439,404
5479,14,15,88,88,88,88,15,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:54.306Z,2026-05-23T17:29:54.306Z,438,412
5480,14,16,111,111,111,111,16,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:54.497Z,2026-05-23T17:29:54.497Z,437,405
5481,14,17,153,17,17,17,153,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:54.686Z,2026-05-23T17:29:54.686Z,436,396
5482,14,18,24,24,18,24,18,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:54.877Z,2026-05-23T17:29:54.877Z,435,433
5483,14,19,21,21,21,21,19,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:55.083Z,2026-05-23T17:29:55.083Z,434,434
5484,14,20,151,151,20,151,20,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:55.281Z,2026-05-23T17:29:55.281Z,434,396
5485,14,22,23,23,23,23,22,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:55.497Z,2026-05-23T17:29:55.497Z,433,433
5486,14,26,28,28,28,28,26,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:55.688Z,2026-05-23T17:29:55.688Z,432,431
5487,14,27,95,27,27,27,95,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:55.878Z,2026-05-23T17:29:55.878Z,432,410
5488,14,29,77,77,77,77,29,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:56.104Z,2026-05-23T17:29:56.104Z,431,415
5489,14,30,156,30,30,30,156,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:56.295Z,2026-05-23T17:29:56.295Z,431,395
5490,14,31,69,69,69,69,31,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:56.496Z,2026-05-23T17:29:56.496Z,429,418
5491,14,32,78,32,78,32,78,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:56.689Z,2026-05-23T17:29:56.689Z,430,415
5492,14,33,64,64,64,64,33,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:56.877Z,2026-05-23T17:29:56.877Z,429,419
5493,14,34,72,72,72,72,34,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:57.066Z,2026-05-23T17:29:57.066Z,429,417
5494,14,35,147,35,35,35,147,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:57.258Z,2026-05-23T17:29:57.258Z,428,397
5495,14,36,42,42,42,42,36,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:57.447Z,2026-05-23T17:29:57.447Z,428,426
5496,14,37,59,37,37,37,59,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:57.636Z,2026-05-23T17:29:57.636Z,427,421
5497,14,38,164,164,164,164,38,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:57.826Z,2026-05-23T17:29:57.826Z,426,393
5498,14,39,48,39,39,39,48,true,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:58.015Z,2026-05-23T17:29:58.015Z,427,425
5499,14,40,163,40,163,40,163,false,2026-05-23,KvK #14,KvK #14,2026-05-23T17:29:58.204Z,2026-05-23T17:29:58.204Z,427,393
