kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
9,9,1,15,1,15,1,15,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:55.990Z,2026-01-25T23:26:55.990Z,313,298
16,9,2,25,2,25,2,25,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.020Z,2026-01-25T23:26:56.020Z,311,293
23,9,3,12,12,3,12,3,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.048Z,2026-01-25T23:26:56.048Z,310,301
28,9,4,22,22,22,22,4,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.068Z,2026-01-25T23:26:56.068Z,309,293
33,9,5,16,5,16,5,16,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.086Z,2026-01-25T23:26:56.086Z,308,297
37,9,6,14,6,14,6,14,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.101Z,2026-01-25T23:26:56.101Z,307,299
43,9,7,33,33,33,33,7,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.129Z,2026-01-25T23:26:56.129Z,306,289
52,9,8,13,13,13,13,8,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.166Z,2026-01-25T23:26:56.166Z,305,300
59,9,9,10,9,9,9,10,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.197Z,2026-01-25T23:26:56.197Z,304,303
72,9,11,20,11,11,11,20,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.248Z,2026-01-25T23:26:56.248Z,302,294
100,9,17,31,17,17,17,31,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.340Z,2026-01-25T23:26:56.340Z,296,289
105,9,18,24,24,18,24,18,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.352Z,2026-01-25T23:26:56.352Z,295,293
110,9,19,37,19,37,19,37,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.368Z,2026-01-25T23:26:56.368Z,294,287
119,9,21,27,21,21,21,27,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.398Z,2026-01-25T23:26:56.398Z,294,292
132,9,23,30,30,23,30,23,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.430Z,2026-01-25T23:26:56.430Z,293,291
151,9,28,34,34,34,34,28,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.477Z,2026-01-25T23:26:56.477Z,291,289
157,9,29,32,29,32,29,32,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.493Z,2026-01-25T23:26:56.493Z,291,290
181,9,35,47,47,47,47,35,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.555Z,2026-01-25T23:26:56.555Z,288,285
185,9,36,61,61,36,61,36,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.566Z,2026-01-25T23:26:56.566Z,288,280
196,9,38,42,42,38,42,38,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.596Z,2026-01-25T23:26:56.596Z,286,286
200,9,39,60,39,60,39,60,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.606Z,2026-01-25T23:26:56.606Z,287,280
205,9,40,59,40,59,40,59,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.619Z,2026-01-25T23:26:56.619Z,287,281
210,9,41,53,53,41,53,41,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.632Z,2026-01-25T23:26:56.632Z,287,283
216,9,43,65,43,43,43,65,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.648Z,2026-01-25T23:26:56.648Z,286,279
221,9,44,57,57,57,57,44,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.663Z,2026-01-25T23:26:56.663Z,286,281
225,9,45,62,62,45,62,45,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.683Z,2026-01-25T23:26:56.683Z,286,280
231,9,46,50,46,46,46,50,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.704Z,2026-01-25T23:26:56.704Z,285,284
241,9,48,67,48,67,48,67,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.737Z,2026-01-25T23:26:56.737Z,285,279
247,9,49,56,56,49,56,49,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.752Z,2026-01-25T23:26:56.752Z,284,282
256,9,51,63,63,63,63,51,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.775Z,2026-01-25T23:26:56.775Z,284,280
262,9,52,64,64,64,64,52,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.790Z,2026-01-25T23:26:56.790Z,283,279
269,9,54,66,54,66,54,66,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.810Z,2026-01-25T23:26:56.810Z,283,279
273,9,55,58,55,58,55,58,false,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.821Z,2026-01-25T23:26:56.821Z,281,281
305,9,68,96,68,68,68,96,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.903Z,2026-01-25T23:26:56.903Z,278,270
311,9,69,102,69,69,69,102,true,2026-01-03,KvK #9,KvK #9,2026-01-25T23:26:56.920Z,2026-01-25T23:26:56.920Z,278,268
