kvk_id,season_id,kingdom_a,kingdom_b,prep_winner,castle_winner,attacker,defender,castle_captured,season_date,kvk_title,description,created_at,updated_at,kingdom_a_age_days,kingdom_b_age_days
7,7,1,10,1,10,1,10,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:55.982Z,2026-01-25T23:26:55.982Z,257,247
14,7,2,7,7,7,7,2,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.011Z,2026-01-25T23:26:56.011Z,255,250
21,7,3,45,45,3,45,3,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.041Z,2026-01-25T23:26:56.041Z,254,230
27,7,4,25,4,4,4,25,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.064Z,2026-01-25T23:26:56.064Z,253,237
32,7,5,20,20,5,20,5,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.082Z,2026-01-25T23:26:56.082Z,252,238
36,7,6,12,12,12,12,6,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.097Z,2026-01-25T23:26:56.097Z,251,245
50,7,8,14,14,14,14,8,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.154Z,2026-01-25T23:26:56.154Z,249,243
57,7,9,29,29,9,29,9,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.189Z,2026-01-25T23:26:56.189Z,248,235
70,7,11,13,11,11,11,13,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.241Z,2026-01-25T23:26:56.241Z,246,244
87,7,15,21,15,21,15,21,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.302Z,2026-01-25T23:26:56.302Z,242,238
91,7,16,47,47,47,47,16,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.315Z,2026-01-25T23:26:56.315Z,241,229
98,7,17,30,30,17,30,17,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.336Z,2026-01-25T23:26:56.336Z,240,235
103,7,18,61,61,61,61,18,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.348Z,2026-01-25T23:26:56.348Z,239,224
109,7,19,27,27,19,27,19,false,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.363Z,2026-01-25T23:26:56.363Z,238,236
124,7,22,33,33,33,33,22,true,2025-11-08,KvK #7,KvK #7,2026-01-25T23:26:56.410Z,2026-01-25T23:26:56.410Z,237,233
